Time,sensorLL,sensorCL,sensorCR,sensorRR,motorL,motorR
13547.0,33.0,32.0,33.0,32.0,90.0,30.0
13588.0,32.0,31.0,33.0,33.0,90.0,30.0
13630.0,33.0,32.0,33.0,32.0,90.0,30.0
13672.0,33.0,32.0,33.0,32.0,90.0,30.0
13713.0,32.0,31.0,33.0,32.0,90.0,30.0
13755.0,33.0,31.0,33.0,31.0,90.0,30.0
13796.0,33.0,31.0,33.0,32.0,90.0,30.0
13838.0,33.0,31.0,32.0,32.0,90.0,30.0
13880.0,34.0,31.0,33.0,32.0,90.0,30.0
13921.0,33.0,31.0,33.0,32.0,90.0,30.0
13963.0,34.0,32.0,33.0,32.0,90.0,30.0
14005.0,33.0,32.0,34.0,290.0,100.0,0.0
14047.0,46.0,117.0,191.0,32.0,100.0,0.0
14091.0,33.0,32.0,33.0,32.0,100.0,0.0
14133.0,33.0,31.0,33.0,32.0,100.0,0.0
14173.0,33.0,31.0,33.0,32.0,100.0,0.0
14215.0,33.0,31.0,33.0,31.0,100.0,0.0
14256.0,33.0,32.0,33.0,33.0,100.0,0.0
14298.0,33.0,31.0,33.0,32.0,100.0,0.0
14340.0,33.0,32.0,33.0,32.0,100.0,0.0
14381.0,33.0,32.0,33.0,33.0,100.0,0.0
14423.0,33.0,32.0,33.0,33.0,100.0,0.0
14465.0,33.0,32.0,34.0,33.0,100.0,0.0
14506.0,33.0,32.0,33.0,31.0,100.0,0.0
14548.0,33.0,31.0,33.0,32.0,100.0,0.0
14589.0,33.0,32.0,33.0,32.0,100.0,0.0
14631.0,33.0,31.0,33.0,33.0,100.0,0.0
14673.0,33.0,31.0,33.0,33.0,100.0,0.0
14714.0,33.0,31.0,33.0,32.0,100.0,0.0
14756.0,33.0,32.0,33.0,32.0,100.0,0.0
14798.0,34.0,32.0,32.0,32.0,100.0,0.0
14839.0,33.0,32.0,33.0,36.0,100.0,0.0
14881.0,33.0,32.0,40.0,278.0,100.0,0.0
14923.0,35.0,55.0,155.0,32.0,0.0,100.0
14966.0,53.0,33.0,34.0,32.0,0.0,100.0
15008.0,34.0,32.0,33.0,32.0,0.0,100.0
15049.0,34.0,31.0,33.0,32.0,0.0,100.0
15091.0,34.0,32.0,33.0,32.0,0.0,100.0
15133.0,33.0,31.0,33.0,31.0,0.0,100.0
15174.0,33.0,32.0,33.0,31.0,0.0,100.0
15216.0,33.0,32.0,33.0,31.0,0.0,100.0
15257.0,33.0,31.0,33.0,32.0,0.0,100.0
15299.0,33.0,31.0,33.0,32.0,0.0,100.0
15341.0,38.0,32.0,33.0,31.0,0.0,100.0
15382.0,47.0,32.0,34.0,31.0,0.0,100.0
15424.0,68.0,36.0,32.0,32.0,0.0,100.0
15466.0,39.0,32.0,32.0,32.0,0.0,100.0
15507.0,35.0,31.0,32.0,31.0,0.0,100.0
15549.0,34.0,31.0,33.0,32.0,0.0,100.0
15590.0,35.0,32.0,33.0,32.0,0.0,100.0
15632.0,37.0,31.0,33.0,32.0,0.0,100.0
15674.0,47.0,32.0,34.0,33.0,0.0,100.0
15715.0,59.0,32.0,34.0,32.0,0.0,100.0
15757.0,42.0,41.0,34.0,32.0,50.0,70.0
15799.0,34.0,46.0,35.0,32.0,79.0,41.0
15840.0,33.0,44.0,41.0,33.0,100.0,10.0
15883.0,33.0,40.0,48.0,32.0,100.0,0.0
15924.0,34.0,43.0,41.0,32.0,10.0,100.0
15967.0,34.0,45.0,36.0,32.0,0.0,100.0
16009.0,34.0,43.0,40.0,32.0,30.0,90.0
16049.0,33.0,35.0,89.0,32.0,100.0,0.0
16091.0,33.0,32.0,103.0,34.0,90.0,30.0
16134.0,34.0,32.0,83.0,35.0,90.0,30.0
16175.0,33.0,32.0,67.0,35.0,90.0,30.0
16217.0,33.0,32.0,82.0,34.0,90.0,30.0
16258.0,33.0,32.0,70.0,32.0,90.0,30.0
16300.0,33.0,33.0,85.0,32.0,90.0,30.0
16342.0,33.0,40.0,46.0,32.0,90.0,30.0
16383.0,34.0,45.0,36.0,32.0,0.0,100.0
16425.0,34.0,46.0,35.0,32.0,30.0,90.0
16467.0,34.0,42.0,53.0,32.0,100.0,10.0
16509.0,33.0,32.0,151.0,184.0,100.0,0.0
16553.0,33.0,32.0,43.0,270.0,100.0,0.0
16596.0,33.0,32.0,35.0,82.0,100.0,0.0
16637.0,33.0,31.0,33.0,34.0,100.0,0.0
16679.0,33.0,31.0,32.0,33.0,100.0,0.0
16720.0,34.0,32.0,33.0,32.0,100.0,0.0
16762.0,33.0,31.0,33.0,32.0,100.0,0.0
16804.0,34.0,31.0,33.0,33.0,100.0,0.0
16845.0,33.0,32.0,33.0,32.0,100.0,0.0
16887.0,33.0,32.0,34.0,32.0,100.0,0.0
16929.0,33.0,32.0,33.0,32.0,100.0,0.0
16970.0,33.0,31.0,33.0,33.0,100.0,0.0
17012.0,32.0,31.0,33.0,32.0,100.0,0.0
17053.0,32.0,31.0,33.0,32.0,100.0,0.0
17095.0,33.0,31.0,33.0,32.0,100.0,0.0
17137.0,33.0,31.0,34.0,50.0,100.0,0.0
17178.0,33.0,32.0,35.0,190.0,100.0,0.0
17221.0,33.0,32.0,95.0,33.0,0.0,100.0
17263.0,33.0,45.0,40.0,33.0,0.0,100.0
17304.0,37.0,301.0,34.0,32.0,30.0,90.0
17347.0,40.0,48.0,33.0,32.0,30.0,90.0
